gpa,reading,math,composite,gender,level,highschool,ACTcomposite
3.87,790,640,1430,Male,Junior,Home School,25
3.87,750,680,1430,Female,Junior,Home School,25
3.87,790,640,1430,Female,Senior,Home School,25
3.87,760,680,1440,Male,Junior,Home School,26
3.87,730,710,1440,Male,Junior,Home School,26
3.87,800,650,1450,Female,Senior,Home School,26
3.87,800,650,1450,Female,Senior,Home School,26
3.87,800,660,1460,Female,Junior,Home School,26
3.87,800,660,1460,Female,Junior,Home School,26
3.87,790,670,1460,Female,Senior,Home School,26
3.87,800,660,1460,Male,Sophomore,Home School,26
3.87,770,700,1470,Male,Junior,Transfer,27
3.87,800,680,1480,Female,Junior,Home School,27
3.87,800,680,1480,Female,Junior,Home School,27
3.87,700,780,1480,Female,Junior,Home School,27
3.87,700,780,1480,Female,Junior,Home School,27
3.87,770,710,1480,Male,Junior,Transfer,27
3.87,770,710,1480,Female,Sophomore,Home School,27
3.87,770,710,1480,Male,Sophomore,Home School,27
3.87,770,710,1480,Male,Sophomore,Home School,27
3.87,770,710,1480,Female,Sophomore,Home School,27
3.87,710,770,1480,Male,Sophomore,Home School,27
3.87,710,770,1480,Male,Sophomore,Home School,27
3.87,800,690,1490,Female,Junior,Home School,28
3.87,800,690,1490,Female,Junior,Home School,28
3.87,790,700,1490,Female,Junior,Home School,28
3.87,770,720,1490,Male,Junior,Home School,28
3.87,770,720,1490,Male,Junior,Home School,28
3.87,780,710,1490,Male,Sophomore,Home School,28
3.87,760,730,1490,Female,Sophomore,Home School,28
3.87,760,730,1490,Female,Sophomore,Home School,28
3.87,740,750,1490,Male,Sophomore,Home School,28
3.87,740,750,1490,Male,Sophomore,Home School,28
3.87,790,710,1500,Male,Senior,Home School,28
3.87,780,720,1500,Male,Senior,Home School,28
3.87,780,720,1500,Male,Senior,Home School,28
3.87,770,730,1500,Female,Senior,Home School,28
3.87,770,730,1500,Female,Senior,Home School,29
3.87,720,780,1500,Male,Senior,Home School,29
3.87,730,770,1500,Male,Sophomore,Home School,29
3.87,730,770,1500,Male,Sophomore,Home School,29
3.87,800,710,1510,Female,Junior,Home School,29
3.87,800,710,1510,Female,Junior,Home School,29
3.87,790,730,1520,Male,Sophomore,Home School,29
3.87,790,730,1520,Male,Sophomore,Home School,29
3.87,800,730,1530,Female,Sophomore,Home School,29
3.87,800,730,1530,Female,Sophomore,Home School,29
3.87,730,800,1530,Male,Sophomore,Home School,29
3.87,730,800,1530,Male,Sophomore,Home School,30
3.87,800,740,1540,Male,Junior,Private High School,30
3.87,800,740,1540,Male,Junior,Private High School,30
3.87,800,750,1550,Female,Junior,Home School,30
3.87,800,750,1550,Female,Junior,Home School,30
3.87,760,790,1550,Male,Sophomore,Home School,31
3.87,760,790,1550,Male,Sophomore,Home School,31
3.87,780,780,1560,Male,Junior,Home School,32
3.87,800,760,1560,Female,Sophomore,Home School,32
3.87,800,760,1560,Female,Sophomore,Home School,32
3.87,800,790,1590,Female,Sophomore,Home School,32
3.87,800,790,1590,Female,Sophomore,Home School,32
3.87,790,800,1590,Male,Sophomore,Home School,33
3.87,790,800,1590,Male,Sophomore,Home School,33
3.87,800,800,1600,Female,Junior,Home School,33
3.87,800,800,1600,Female,Junior,Home School,34
3.87,800,800,1600,Male,Junior,Transfer,35
3.87,800,800,1600,Male,Junior,Transfer,36
